??,Player,Date,Score
???,ZHANG Guocheng,9/3/2017,1900
??,ZHAO Hai,9/7/2017,1836
???,DUAN Wenqiang,9/3/2017,1791
???,WU Xiaokang,9/12/2017,1783
???,XUE Shumei,9/12/2017,1734
???,ZHANG Mingli,9/12/2017,1710
??,ZHAN Wei,9/12/2017,1688
???,ZHANG Chaojiong,9/3/2017,1688
,BONAITI Gabriele,9/12/2017,1673
???,ZHANG Ruoyu,9/7/2017,1639
???,XIAO Xudong,9/7/2017,1635
??,QIN Song,9/7/2017,1608
??,LIN Feng,9/7/2017,1587
???,ZHANG Yajun,9/7/2017,1583
???,SHANG Yingfeng,9/3/2017,1570
??,LIU Duan,9/12/2017,1531
???,LU JianQiang,9/5/2017,1445
,ZENG ZiZhen,,1450
,ZHENG Kai,,1450
,LI ZiShuo,,1450
