??,Player,Date,Score
???,ZHANG Guocheng,9/3/2017,1900
??,ZHAO Hai,9/5/2017,1824
???,DUAN Wenqiang,9/3/2017,1791
???,WU Xiaokang,9/5/2017,1767
???,ZHANG Mingli,9/5/2017,1751
???,XUE Shumei,9/5/2017,1721
??,ZHAN Wei,9/5/2017,1695
???,ZHANG Chaojiong,9/3/2017,1688
,BONAITI Gabriele,9/5/2017,1663
???,XIAO Xudong,9/3/2017,1648
???,ZHANG Ruoyu,9/3/2017,1619
??,LIN Feng,9/3/2017,1595
??,QIN Song,9/3/2017,1594
???,ZHANG Yajun,9/3/2017,1590
???,SHANG Yingfeng,9/3/2017,1570
??,LIU Duan,9/5/2017,1540
???,LU JianQiang,9/5/2017,1445
