??,Player,Date,Score
?,LOU Eldon,12/5/2017,2172
???,XIONG Yifan,12/5/2017,2160
???,ZHU Xiaowan,11/21/2017,2100
???,ZHANG Guocheng,12/19/2017,2079
???,XUE Shumei,12/19/2017,1832
???,LI Bingnan,12/19/2017,1819
???,XU Guanglang,12/5/2017,1812
??,ZHAO Hai,12/19/2017,1795
???,DUAN Wenqiang,9/3/2017,1791
???,ZHANG Mingli,12/19/2017,1742
???,WU Xiaokang,12/19/2017,1734
,BONAITI Gabriele,12/19/2017,1731
,PATAWARAN Alfred,12/19/2017,1723
???,ZHANG Chaojiong,11/15/2017,1707
??,ZHAN Wei,12/19/2017,1701
??,MA Shuo,12/19/2017,1698
???,LI Qifan,12/19/2017,1682
??,FENG Gan,11/21/2017,1669
???,ZHANG Ruoyu,11/29/2017,1661
???,ZHANG Yajun,11/15/2017,1655
???,XIAO Xudong,10/18/2017,1629
??,LIN Feng,11/29/2017,1619
???,DU Wenchao,12/19/2017,1609
??,QIN Song,11/29/2017,1597
???,TAO Youshun,12/19/2017,1593
??,LIU Duan,12/19/2017,1587
??,YANG Qian,11/28/2017,1570
???,DENG JiaHuan,11/7/2017,1490
???,LIU YongZhan,11/21/2017,1485
